id ,meal
92,"Cơm, Cá Ngừ Kho Thơm, Rau Muống Xào Thịt Bò, Canh Cà Chua Trứng Gà, Chôm Chôm Thái"
93,"Cơm, Chả Giò Chay, Nấm Rơm Xào Đậu Hủ, Canh Khoai Tây Cà Rốt Nấm Hương, Bưởi"
94,"Cơm, Đậu Hủ Kho Dưa Cải, Đậu Rồng Luộc, Canh Bí Đỏ Đậu Phộng, Chôm Chôm Nhãn"
95,"Cơm, Đậu Hũ Kho Nấm Rơm, Rau Củ Xào Thập Cẩm, Canh Mướp Mồng Tơi, Măng Cụt"
96,"Cơm, Cà Ry Đậu Hũ Chay, Chuối Già"
97,"Bánh Mì Thịt Nướng, Nước Cam Tươi"
98,"Cơm, Ếch Chiên Nước Mắm, Dưa Leo, Canh Cải Cúc Nấu Thịt Heo, Cam Vàng"
99,"Cơm, Chả Cá Thát Lát Chiên, Cải Chua Xào Thịt Heo, Canh Cà Rốt Khoai Tây Thịt Bằm, Dưa Lê"
100,"Cơm, Tôm Chiên Giòn, Canh Bông Cải Nấm Rơm Thịt Heo, Bầu Xào Thịt Bằm, Nho Ngọt"
101,"Cơm, Xíu Mại Kho Cà, Canh Cà Rốt Khoai Tây Nấu Thịt Bằm, Dưa Lưới"
